name,lat,lon,vars,star,end,accum_TCP_50Y,accum_TCP_1TC,TCP_p70,TCP_p80,TCP_p90,TCP_p95,TCP_p100,TCP_p99,num_record
USC00173261,45.1775,-67.7742,PRCP,1948,2020,2285.086945149026,2.6726163101158202,45.808450234877114,49.114853985807045,56.04757191428164,71.97499999999998,86.4,80.994,54
USC00173588,45.4586,-69.8653,PRCP,1969,2020,1837.933444770554,2.1496297599655603,46.969322571864296,48.25696774334952,51.95,58.39880144683425,65.33274456756453,64.28300951216048,46
USC00174086,45.6261,-70.2461,PRCP,1894,2020,1589.0377992915833,1.8585237418615008,43.37619507465636,46.43185314656427,50.157520103362444,63.5,78.0,73.32000000000002,41
USC00174927,44.7975,-69.8889,PRCP,1894,2020,2202.706514943274,2.5762649297582154,46.64375536681163,49.823097769200714,59.81915576477911,66.15499999999997,79.5,74.25299999999999,54
USC00175460,45.5853,-69.7186,PRCP,1930,2020,1889.7931783815704,2.2102844191597315,47.97213894276375,50.78979148101409,58.50095409731945,61.174743867111,94.5,85.87600000000005,45
USC00175675,44.0436,-69.5375,PRCP,1965,2020,2632.544358545408,3.0789992497607113,44.747470114677284,49.2229092862638,63.7695057778842,76.50999999999998,138.4,106.47000000000014,63
USC00177037,44.9892,-70.6719,PRCP,1969,2020,2025.6188351230624,2.3691448364012424,43.15588805263318,47.982157568077305,56.6641137812924,78.6951276576442,113.0,107.38399999999996,49
USC00177479,43.4569,-70.7803,PRCP,1953,2020,3081.714702216706,3.6043446809552115,45.056592359050015,49.191805870316,60.11970635899371,74.03999999999995,138.2,130.97299999999996,74
USC00179151,44.5272,-69.6544,PRCP,1958,2020,2546.9658497194646,2.9789074265724733,48.8192695087036,53.32654843993797,59.7,64.92499999999998,144.3,106.06799999999978,60
USC00179891,45.1542,-67.3986,PRCP,1917,2020,2449.2006084440845,2.86456211513928,45.57883040967014,54.13471491180009,67.44999999999999,72.65,83.1,81.39500000000001,56
USC00180700,39.0303,-76.9314,PRCP,1941,2020,3398.9899689490016,3.9754268642678383,41.753533025615816,51.180076712261844,61.18000000000001,72.96000000000001,130.8,124.952,87
USC00182060,39.6556,-76.175,PRCP,1936,2020,3083.6426957069607,3.6065996441017085,43.2,50.695793912937745,63.39758044305066,112.125,209.6,153.20000000000002,76
